"","SOAP_NDVI","SOAP_SAVI","SOAP_ARVI","SOAP_EVI","SOAP_NDLI","SOAP_NDNI","SOAP_PRI","SOAP_lidarCHM","SOAP_lidarSlope","SOAP_lidarAspect"
"SOAP_NDVI",1,0.7,0.99,0.13,0.02,0,0.33,0.37,0.14,-0.06
"SOAP_SAVI",0.7,1,0.68,0.27,0.03,0.01,0.1,0.42,0.13,-0.05
"SOAP_ARVI",0.99,0.68,1,0.13,0.02,0,0.4,0.37,0.14,-0.06
"SOAP_EVI",0.13,0.27,0.13,1,0.01,0,0.01,0.11,0.03,-0.01
"SOAP_NDLI",0.02,0.03,0.02,0.01,1,0,0.01,0.01,0,0
"SOAP_NDNI",0,0.01,0,0,0,1,0,0,0,0
"SOAP_PRI",0.33,0.1,0.4,0.01,0.01,0,1,-0.05,0.06,-0.04
"SOAP_lidarCHM",0.37,0.42,0.37,0.11,0.01,0,-0.05,1,0.05,-0.01
"SOAP_lidarSlope",0.14,0.13,0.14,0.03,0,0,0.06,0.05,1,-0.11
"SOAP_lidarAspect",-0.06,-0.05,-0.06,-0.01,0,0,-0.04,-0.01,-0.11,1
